iter	Logloss
0	0.5705780713
1	0.4845057231
2	0.4193055815
3	0.3729197432
4	0.3365318154
5	0.310108394
6	0.2901552571
7	0.2747000124
8	0.263705948
9	0.2541537516
10	0.2463098343
11	0.2397481634
12	0.2341195839
13	0.2311232871
14	0.2268426422
15	0.2230163367
16	0.2196543848
17	0.2166114582
18	0.2142077331
19	0.2120466216
20	0.2102524874
21	0.208222556
22	0.2068202545
23	0.205355593
24	0.203821723
25	0.2026949899
26	0.2013792422
27	0.2002555164
28	0.1994135595
29	0.1983507459
30	0.1975124796
31	0.1964270147
32	0.1955188555
33	0.1948625798
34	0.1938690686
35	0.1931179198
36	0.1923949619
37	0.1916495118
38	0.1910543233
39	0.1904949053
40	0.1898882491
41	0.1894287322
42	0.1889213714
43	0.1883559762
44	0.1878588805
45	0.1875075273
46	0.1870189597
47	0.1866775887
48	0.186322519
49	0.186041797
50	0.1856681972
51	0.185304057
52	0.1847701768
53	0.1844522734
54	0.1842168826
55	0.1838875729
56	0.1835504808
57	0.183310314
58	0.1829918389
59	0.1826757453
60	0.1824169469
61	0.1821174943
62	0.1819541035
63	0.1816498511
64	0.1813316364
65	0.1810858109
66	0.1808844623
67	0.1806971102
68	0.1804931156
69	0.1802904158
70	0.1800199233
71	0.179743213
72	0.1794868199
73	0.1792824632
74	0.1790877424
75	0.1788437891
76	0.1786205716
77	0.1784355974
78	0.1782496838
79	0.1780491716
80	0.1778679579
81	0.1776681464
82	0.1774326214
83	0.1772808246
84	0.1771345558
85	0.1770137127
86	0.1768626762
87	0.1767216565
88	0.1765311044
89	0.1763590274
90	0.1761972044
91	0.1759280728
92	0.1757851978
93	0.1755746317
94	0.175465055
95	0.1752991421
96	0.1752024074
97	0.1750870054
98	0.1749127892
99	0.1747694039
100	0.1746987181
101	0.1745165617
102	0.1744252663
103	0.1743203281
104	0.1741125373
105	0.1739474398
106	0.1738202808
107	0.1737322129
108	0.1735750864
109	0.1734644602
110	0.173284987
111	0.1731827742
112	0.1730822372
113	0.1729141868
114	0.1728059888
115	0.1727371484
116	0.1726783357
117	0.1725946948
118	0.1724771536
119	0.1723682242
120	0.172267282
121	0.1722045444
122	0.1720639702
123	0.171938797
124	0.1718320989
125	0.1717145447
126	0.1716313043
127	0.1714834034
128	0.1713572567
129	0.1712361909
130	0.1711094695
131	0.1710555828
132	0.1709940239
133	0.17093355
134	0.1708764246
135	0.1707726343
136	0.1706895519
137	0.1706059207
138	0.1704516407
139	0.1703630497
140	0.170267479
141	0.1702133034
142	0.1701377448
143	0.1700499917
144	0.1699711831
145	0.1698613593
146	0.1697716702
147	0.1696990679
148	0.169612989
149	0.1695367523
150	0.1694246358
151	0.1693503092
152	0.1692426941
153	0.1691393671
154	0.1690697323
155	0.1690067703
156	0.1689044332
157	0.1688449538
158	0.1687527559
159	0.1686775041
160	0.1686138592
161	0.1685467237
162	0.1685087999
163	0.1684220801
164	0.1683811064
165	0.1683197283
166	0.1682596741
167	0.1681968527
168	0.1680745694
169	0.1679781867
170	0.1679247392
171	0.1678626023
172	0.1678210055
173	0.1677705997
174	0.167721132
175	0.1676391508
176	0.1675770801
177	0.1675359967
178	0.1674370614
179	0.1674012171
180	0.1673514184
181	0.1673053187
182	0.1672602474
183	0.1671989064
184	0.1671226261
185	0.1670343176
186	0.1669848887
187	0.1669439264
188	0.1668945507
189	0.1668165057
190	0.1667725162
191	0.1667298505
192	0.1666537558
193	0.1666016888
194	0.1665615014
195	0.1665009483
196	0.1664162064
197	0.1663531912
198	0.1663054107
199	0.1662474844
200	0.1661704241
201	0.1661240644
202	0.1660733084
203	0.1660049748
204	0.1659232779
205	0.1658898813
206	0.1658481069
207	0.1657957185
208	0.1657578059
209	0.1657101448
210	0.1656650379
211	0.1656058538
212	0.1655426448
213	0.1654929188
214	0.1654338769
215	0.1653891478
216	0.1653537976
217	0.1652973681
218	0.1652570451
219	0.1651786175
220	0.1651066513
221	0.1650473882
222	0.1650018536
223	0.1649711452
224	0.1649311661
225	0.1648614974
226	0.1648130856
227	0.1647704329
228	0.1647253649
229	0.1646683572
230	0.1646207995
231	0.1645655888
232	0.1645216541
233	0.1644969179
234	0.1644680759
235	0.1644017088
236	0.1643441911
237	0.1643033418
238	0.1642553142
239	0.1641834578
240	0.1641252039
241	0.1640747336
242	0.1640414548
243	0.1639969906
244	0.1639325723
245	0.1638758247
246	0.1638128708
247	0.1637691605
248	0.1637324315
249	0.1636986393
250	0.1636511075
251	0.1635924918
252	0.1635507287
253	0.1634835915
254	0.1634365448
255	0.1634083373
256	0.1633773731
257	0.1633445496
258	0.1633170993
259	0.1632651945
260	0.1632384207
261	0.1632088885
262	0.1631611701
263	0.1631114838
264	0.1630466417
265	0.1630147328
266	0.1629852449
267	0.1629534669
268	0.1628948205
269	0.1628596851
270	0.1628282663
271	0.1627835276
272	0.1627563389
273	0.1626983885
274	0.1626516807
275	0.1625993488
276	0.1625426344
277	0.1625112511
278	0.1624651328
279	0.1624241761
280	0.1623820578
281	0.1623467463
282	0.1623079346
283	0.1622710691
284	0.1622406771
285	0.1621953242
286	0.1621443655
287	0.1621213608
288	0.1620969781
289	0.162071793
290	0.1620486567
291	0.162013321
292	0.1619862195
293	0.1619547789
294	0.1619145407
295	0.1618820022
296	0.1618598766
297	0.1618113194
298	0.1617765811
299	0.1617510981
300	0.161729327
301	0.1616944022
302	0.1616580034
303	0.1616278568
304	0.161601435
305	0.1615654188
306	0.1615320149
307	0.1614973396
308	0.1614741928
309	0.1614472131
310	0.1613968081
311	0.1613632355
312	0.1613339835
313	0.1613085336
314	0.1612620932
315	0.1612247967
316	0.1611861206
317	0.1611638529
318	0.1611341778
319	0.1611100535
320	0.1610843896
321	0.1610455496
322	0.1610105998
323	0.1609804145
